cell,track,seed,n,noise,model,split,nu,horizon,lag,mse,relative_l2,max_state,fraction_abs_gt_1_5,energy_monotone_fraction,energy_max_increase,energy_mean_positive_increase,energy_is_lyapunov_candidate
2,irregular,42,16,0.01,autonomous,test,0.005,1.2,0.24,0.005223369691520929,0.09148192405700684,1.145453929901123,0.0,1.0,-0.058234214782714844,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.005,2.4,0.06,0.013900622725486755,0.12340185046195984,1.1583956480026245,0.0,0.9007812738418579,0.00426483154296875,0.00018293308676220477,True
2,irregular,42,16,0.01,autonomous,test,0.005,2.4,0.12,0.013897099532186985,0.1233862116932869,1.158395528793335,0.0,0.901562511920929,0.008461356163024902,0.00036345701664686203,True
2,irregular,42,16,0.01,autonomous,test,0.005,2.4,0.24,0.013879610225558281,0.12330855429172516,1.1583868265151978,0.0,0.903124988079071,0.016353845596313477,0.0006981689366512001,True
2,irregular,42,16,0.01,autonomous,test,0.02,0.6,0.06,0.001117950421757996,0.056984350085258484,1.0883979797363281,0.0,1.0,-0.012549489736557007,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.02,0.6,0.12,0.0011185705661773682,0.05700015276670456,1.0883634090423584,0.0,1.0,-0.02656269073486328,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.02,0.6,0.24,0.0011211602250114083,0.057066094130277634,1.0882668495178223,0.0,1.0,-0.05354434251785278,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.02,1.2,0.06,0.004866058938205242,0.08969506621360779,1.1439841985702515,0.0,1.0,-0.0029021501541137695,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.02,1.2,0.12,0.004865861497819424,0.08969324082136154,1.143958568572998,0.0,1.0,-0.007135272026062012,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.02,1.2,0.24,0.004864330403506756,0.08967913687229156,1.1438450813293457,0.0,1.0,-0.02105081081390381,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.02,2.4,0.06,0.013114487752318382,0.12310891598463058,1.1582967042922974,0.0,0.8304687738418579,0.0066536664962768555,0.0004858477914240211,True
2,irregular,42,16,0.01,autonomous,test,0.02,2.4,0.12,0.01310977153480053,0.12308677285909653,1.158294677734375,0.0,0.832812488079071,0.013091444969177246,0.0009663341334089637,True
2,irregular,42,16,0.01,autonomous,test,0.02,2.4,0.24,0.01308937557041645,0.12299098819494247,1.1582821607589722,0.0,0.8374999761581421,0.026096582412719727,0.001872216584160924,True
2,irregular,42,16,0.01,autonomous,test,0.08,0.6,0.06,0.0009553050622344017,0.054394032806158066,1.074774980545044,0.0,1.0,-0.006125271320343018,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.08,0.6,0.12,0.0009558441233821213,0.05440937727689743,1.0747418403625488,0.0,1.0,-0.012828081846237183,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.08,0.6,0.24,0.0009579870384186506,0.05447033420205116,1.0746580362319946,0.0,1.0,-0.02440035343170166,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.08,1.2,0.06,0.004085022956132889,0.08613279461860657,1.1392581462860107,0.0,1.0,-0.0031479597091674805,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.08,1.2,0.12,0.00408448651432991,0.0861271396279335,1.1392285823822021,0.0,1.0,-0.008547067642211914,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.08,1.2,0.24,0.004081708379089832,0.0860978439450264,1.1391010284423828,0.0,1.0,-0.027811646461486816,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.08,2.4,0.06,0.011843262240290642,0.12389867007732391,1.1575850248336792,0.0,0.776562511920929,0.00737154483795166,0.0007219511899165809,True
2,irregular,42,16,0.01,autonomous,test,0.08,2.4,0.12,0.011838393285870552,0.12387318909168243,1.1575818061828613,0.0,0.776562511920929,0.014514446258544922,0.001433085068129003,True
2,irregular,42,16,0.01,autonomous,test,0.08,2.4,0.24,0.011817099526524544,0.12376173585653305,1.1575613021850586,0.0,0.78125,0.02762770652770996,0.002798245521262288,True
